,phi,Re_Ephi,Im_Ephi,Re_Etheta,Im_Etheta,Total_RCS,Ephi,Etheta,Corrected_RCS
0,0.0,0.0127408328348481,0.00174241248172393,0.000785039994902715,-0.000543134940421348,2.03833882296202,(0.0127408328348481+0.00174241248172393j),(0.000785039994902715-0.000543134940421348j),20.894871466598687
1,1.0,0.0119536339576669,0.00194460299925383,0.000830173520820624,-0.000438186236344811,1.80880500908979,(0.0119536339576669+0.00194460299925383j),(0.000830173520820624-0.000438186236344811j),18.5419360840851
2,2.0,0.0109627942457619,0.0019859817849079,0.00085815890874559,-0.000334176189940718,1.53203961571015,(0.0109627942457619+0.0019859817849079j),(0.00085815890874559-0.000334176189940718j),15.704833019607015
3,3.0,0.00985353447655265,0.00176402062395265,0.000869767636916553,-0.000233447176046552,1.23831742923215,(0.00985353447655265+0.00176402062395265j),(0.000869767636916553-0.000233447176046552j),12.69390703212682
4,4.0,0.00877217580994804,0.00120937436751772,0.000866139106043988,-0.000138670513283015,0.970686363804414,(0.00877217580994804+0.00120937436751772j),(0.000866139106043988-0.000138670513283015j),9.950439336969445
5,5.0,0.00790584578378026,0.000318987109894019,0.000848934866757258,-5.26824739477015e-05,0.77631802780651,(0.00790584578378026+0.000318987109894019j),(0.000848934866757258-5.26824739477015e-05j),7.957982856181245
6,6.0,0.00744514565239839,-0.000823126789890319,0.000820775497225702,2.17001227107768e-05,0.69607535738078,(0.00744514565239839-0.000823126789890319j),(0.000820775497225702+2.17001227107768e-05j),7.135420745410169
7,7.0,0.00753809374487622,-0.00204559643152375,0.000785276611750215,8.20423313197386e-05,0.75551609172939,(0.00753809374487622-0.00204559643152375j),(0.000785276611750215+8.20423313197386e-05j),7.744743636238309
8,8.0,0.00824663857325373,-0.00311266529317988,0.000747001132351576,0.000126845667603441,0.959491078946676,(0.00824663857325373-0.00311266529317988j),(0.000747001132351576+0.000126845667603441j),9.835677239765966
9,9.0,0.0095173396535245,-0.00376702365330817,0.000711247236750411,0.000155934812131513,1.29085241510596,(0.0095173396535245-0.00376702365330817j),(0.000711247236750411+0.000155934812131513j),13.232439568998041
10,10.0,0.0111752445514566,-0.00378454839192248,0.00068348704382013,0.000170854280817942,1.71261300023507,(0.0111752445514566-0.00378454839192248j),(0.00068348704382013+0.000170854280817942j),17.555878399027335
11,11.0,0.012944660757293,-0.00302784929770127,0.000668800069475878,0.000175023761379421,2.17237529713337,(0.012944660757293-0.00302784929770127j),(0.000668800069475878+0.000175023761379421j),22.268870169903874
12,12.0,0.0144942586092267,-0.00148684542126651,0.000671125118783121,0.000173666493172418,2.60835527260187,(0.0144942586092267-0.00148684542126651j),(0.000671125118783121+0.000173666493172418j),26.738070995008744
13,13.0,0.0154979216304631,0.000704919521433712,0.000692553592080188,0.00017342980180972,2.95671715197964,(0.0154979216304631+0.000704919521433712j),(0.000692553592080188+0.00017342980180972j),30.309104726723564
14,14.0,0.0156989701298663,0.00328247400880741,0.000732757738368226,0.0001817394851758,3.16033597317775,(0.0156989701298663+0.00328247400880741j),(0.000732757738368226+0.0001817394851758j),32.396387296817714
15,15.0,0.014964044378601,0.00588962901468802,0.000788750982344615,0.00020590570790896,3.17838843681063,(0.014964044378601+0.00588962901468802j),(0.000788750982344615+0.00020590570790896j),32.58144186331826
16,16.0,0.0133148252901091,0.00813936315235543,0.000854851234040808,0.000252208688447607,2.99516050117996,(0.0133148252901091+0.00813936315235543j),(0.000854851234040808+0.000252208688447607j),30.70318486258586
17,17.0,0.0109306849677076,0.0096827857965083,0.000923046165883864,0.000324901377723937,2.62575019343694,(0.0109306849677076+0.0096827857965083j),(0.000923046165883864+0.000324901377723937j),26.916385135389135
18,18.0,0.0081214532190202,0.0102725161875643,0.00098382352197434,0.000425315301425618,2.11624676022518,(0.0081214532190202+0.0102725161875643j),(0.00098382352197434+0.000425315301425618j),21.693500387857227
19,19.0,0.0052753530714534,0.00980863348556368,0.00102714066888304,0.000551434687429016,1.53722074723398,(0.0052753530714534+0.00980863348556368j),(0.00102714066888304+0.000551434687429016j),15.75794444348926
20,20.0,0.00279261783866442,0.0083576138473819,0.0010436866231532,0.000697649927941323,0.971193135294933,(0.00279261783866442+0.0083576138473819j),(0.0010436866231532+0.000697649927941323j),9.955634216759815
21,21.0,0.00101751952771177,0.00614169722336847,0.00102617174768922,0.000855096329139744,0.496970227207641,(0.00101751952771177+0.00614169722336847j),(0.00102617174768922+0.000855096329139744j),5.094407712423525
22,22.0,0.000181578223712824,0.00350106159559632,0.000970429999285513,0.00101235758842457,0.174773200698705,(0.000181578223712824+0.00350106159559632j),(0.000970429999285513+0.00101235758842457j),1.791588092846496
23,23.0,0.000367754191412916,0.000836857299598736,0.000876323000583135,0.00115668539462244,0.0360583617979947,(0.000367754191412916+0.000836857299598736j),(0.000876323000583135+0.00115668539462244j),0.3696317935849129
24,24.0,0.00150148001706527,-0.00145417124005491,0.00074816216280197,0.00127531465527469,0.080358993237779,(0.00150148001706527-0.00145417124005491j),(0.00074816216280197+0.00127531465527469j),0.8237545279389261
25,25.0,0.00336821960388886,-0.00304129698842416,0.000594647301707732,0.0013571807958857,0.279376346032671,(0.00336821960388886-0.00304129698842416j),(0.000594647301707732+0.0013571807958857j),2.8638677610417216
26,26.0,0.00565323018319055,-0.00370728038693329,0.000428152731730548,0.0013943350364809,0.586341677140449,(0.00565323018319055-0.00370728038693329j),(0.000428152731730548+0.0013943350364809j),6.010548315787963
27,27.0,0.00799494457627011,-0.00337476825084623,0.000263635309993957,0.00138325094761559,0.947492852051367,(0.00799494457627011-0.00337476825084623j),(0.000263635309993957+0.00138325094761559j),9.712684238808324
28,28.0,0.0100419607288563,-0.00210870634554994,0.000116931039888487,0.00132564996358366,1.31240611995359,(0.0100419607288563-0.00210870634554994j),(0.000116931039888487+0.00132564996358366j),13.453385119044421
29,29.0,0.0115039986275418,-9.66327329631468e-05,2.97152384702847e-06,0.0012287156065728,1.64097072639378,(0.0115039986275418-9.66327329631468e-05j),(2.97152384702847e-06+0.0012287156065728j),16.82147836375091
30,30.0,0.012188839352908,0.0023881946971242,-6.62914673897031e-05,0.0011047028967683,1.90618860651921,(0.012188839352908+0.0023881946971242j),(-6.62914673897031e-05+0.0011047028967683j),19.54020866189227
31,31.0,0.0120210678200056,0.00503266608165743,-8.36160227323329e-05,0.000969762409783321,2.09356605851558,(0.0120210678200056+0.00503266608165743j),(-8.36160227323329e-05+0.000969762409783321j),21.46100207027836
32,32.0,0.0110411845935326,0.00753106805983204,-4.77975750512154e-05,0.000842221852975118,2.19844140758108,(0.0110411845935326+0.00753106805983204j),(-4.77975750512154e-05+0.000842221852975118j),22.536072080255362
33,33.0,0.00938798405670293,0.00962569504160645,3.55616790724008e-05,0.000740280391718224,2.22297319326803,(0.00938798405670293+0.00962569504160645j),(3.55616790724008e-05+0.000740280391718224j),22.787545732722084
34,34.0,0.00726852372883882,0.0111357311496274,0.000154178398334757,0.000679669721134231,2.17374370571037,(0.00726852372883882+0.0111357311496274j),(0.000154178398334757+0.000679669721134231j),22.28289763236895
35,35.0,0.00492221240829863,0.0119714167810475,0.000290086474188913,0.00067109986105925,2.0604219240837,(0.00492221240829863+0.0119714167810475j),(0.000290086474188913+0.00067109986105925j),21.121243821539604
36,36.0,0.00258497034581189,0.0121334323383209,0.000421449580753086,0.00071830909707364,1.89515324622351,(0.00258497034581189+0.0121334323383209j),(0.000421449580753086+0.00071830909707364j),19.427085940405174
37,37.0,0.000459065351986206,0.0116998039483619,0.000525243053123413,0.000816675174695739,1.69218682958024,(0.000459065351986206+0.0116998039483619j),(0.000525243053123413+0.000816675174695739j),17.34649112465493
38,38.0,-0.00130792214275743,0.0108040598413116,0.000580262688534214,0.000952849585307428,1.46716509175471,(-0.00130792214275743+0.0108040598413116j),(0.000580262688534214+0.000952849585307428j),15.039808724217362
39,39.0,-0.00263335768499514,0.00960928967517401,0.000570472485850585,0.00110557318848508,1.23593736556891,(-0.00263335768499514+0.00960928967517401j),(0.000570472485850585+0.00110557318848508j),12.669509162761091
40,40.0,-0.00349904224750088,0.00828262590420387,0.000487821035200213,0.00124757537330933,1.01305902320285,(-0.00349904224750088+0.00828262590420387j),(0.000487821035200213+0.00124757537330933j),10.384798562165237
41,41.0,-0.00394205417458272,0.00697364644055208,0.00033453105913044,0.00134871808452059,0.810334505881868,(-0.00394205417458272+0.00697364644055208j),(0.00033453105913044+0.00134871808452059j),8.306683439776133
42,42.0,-0.00403965919420519,0.00579943283081973,0.00012408053599347,0.00137996139713679,0.635885854928094,(-0.00403965919420519+0.00579943283081973j),(0.00012408053599347+0.00137996139713679j),6.51842228410439
43,43.0,-0.00389170182873701,0.00483694972479082,-0.000119230711270089,0.00131753998752458,0.493924469526665,(-0.00389170182873701+0.00483694972479082j),(-0.000119230711270089+0.00131753998752458j),5.063185859341259
44,44.0,-0.00360328160586951,0.00412271734240763,-0.000362288450898223,0.00114716828656757,0.385264432954353,(-0.00360328160586951+0.00412271734240763j),(-0.000362288450898223+0.00114716828656757j),3.9493192773197885
45,45.0,-0.00327074868664819,0.00365819909528198,-0.000566784442662903,0.000867340866440827,0.308353682786345,(-0.00327074868664819+0.00365819909528198j),(-0.000566784442662903+0.000867340866440827j),3.160912452577603
46,46.0,-0.00297194722581228,0.0034189888086399,-0.000694036310129772,0.000491361231965598,0.260438293863551,(-0.00297194722581228+0.0034189888086399j),(-0.000694036310129772+0.000491361231965598j),2.669735087197793
47,47.0,-0.00276178058896324,0.00336539955316388,-0.000710463967930984,4.73700618014147e-05,0.238559743443942,(-0.00276178058896324+0.00336539955316388j),(-0.000710463967930984+4.73700618014147e-05j),2.445459567473884
48,48.0,-0.00267251968440016,0.00345239037630801,-0.000593144272424265,-0.000423587036194263,0.240181059203233,(-0.00267251968440016+0.00345239037630801j),(-0.000593144272424265-0.000423587036194263j),2.4620795641179782
49,49.0,-0.00271752560803243,0.00363724547047666,-0.000334467273090879,-0.000871564002596164,0.263391614956138,(-0.00271752560803243+0.00363724547047666j),(-0.000334467273090879-0.000871564002596164j),2.700009379152615
50,50.0,-0.00289735941126823,0.00388394472864086,5.48673899052148e-05,-0.00124359758898983,0.306827727484891,(-0.00289735941126823+0.00388394472864086j),(5.48673899052148e-05-0.00124359758898983j),3.1452699894461187
51,51.0,-0.00320591149658694,0.00416424618592757,0.000544952321431931,-0.0014904816569552,0.369446205195587,(-0.00320591149658694+0.00416424618592757j),(0.000544952321431931-0.0014904816569552j),3.7871677095208187
52,52.0,-0.00363577809158583,0.00445581283278721,0.00108863597037154,-0.00157391136237355,0.450331366863077,(-0.00363577809158583+0.00445581283278721j),(0.00108863597037154-0.00157391136237355j),4.616315953943356
53,53.0,-0.00418108759316767,0.00473849506459561,0.00162593428898735,-0.00147268850485329,0.548546429850501,(-0.00418108759316767+0.00473849506459561j),(0.00162593428898735-0.00147268850485329j),5.623111828156244
54,54.0,-0.00483800632072455,0.00499019255958214,0.00209088389362246,-0.00118721326449725,0.663071379709379,(-0.00483800632072455+0.00499019255958214j),(0.00209088389362246-0.00118721326449725j),6.79709923400987
55,55.0,-0.00560258624027144,0.00518342417247138,0.00241979304813355,-0.000741272006085855,0.792672747155919,(-0.00560258624027144+0.00518342417247138j),(0.00241979304813355-0.000741272006085855j),8.125633962478483
56,56.0,-0.00646685631843826,0.0052840143621604,0.00255995122633433,-0.000180702053946215,0.935674864058272,(-0.00646685631843826+0.0052840143621604j),(0.00255995122633433-0.000180702053946215j),9.591538854474873
57,57.0,-0.00741433152456846,0.00525210294012209,0.00247755487520123,0.000431048077400391,1.08957054749659,(-0.00741433152456846+0.00525210294012209j),(0.00247755487520123+0.000431048077400391j),11.169112949852797
58,58.0,-0.008416041470224,0.00504603623203152,0.0021636786907015,0.00102024254222046,1.25057290646192,(-0.008416041470224+0.00504603623203152j),(0.0021636786907015+0.00102024254222046j),12.819537088618484
59,59.0,-0.00942848434076068,0.0046283592061308,0.00163713587490339,0.00151199014192664,1.41324318995859,(-0.00942848434076068+0.0046283592061308j),(0.00163713587490339+0.00151199014192664j),14.48705900735369
60,60.0,-0.0103941649128056,0.00397278739211909,0.000943915254058949,0.00184003550199272,1.57032763015004,(-0.0103941649128056+0.00397278739211909j),(0.000943915254058949+0.00184003550199272j),16.097320829494393
61,61.0,-0.011245201041637,0.00307126579862427,0.000152620152699002,0.00195598354972717,1.71299475750828,(-0.011245201041637+0.00307126579862427j),(0.000152620152699002+0.00195598354972717j),17.55979176665067
62,62.0,-0.0119098122680423,0.00193932716603293,-0.000652992681928886,0.00183629891369773,1.83149561026075,(-0.0119098122680423+0.00193932716603293j),(-0.000652992681928886+0.00183629891369773j),18.774535880363377
63,63.0,-0.0123207910796118,0.000618709010120939,-0.00138407725705382,0.00148623020748748,1.91615745463569,(-0.0123207910796118+0.000618709010120939j),(-0.00138407725705382+0.00148623020748748j),19.64239864018116
64,64.0,-0.0124247509919268,-0.000823483382353101,-0.00195774559666528,0.000939908914895446,1.95856681679291,(-0.0124247509919268-0.000823483382353101j),(-0.00195774559666528+0.000939908914895446j),20.077134102839842
65,65.0,-0.0121907718952427,-0.0022995707755274,-0.00230743530785979,0.000256614371718686,1.95273526483509,(-0.0121907718952427-0.0022995707755274j),(-0.00230743530785979+0.000256614371718686j),20.01735526370044
66,66.0,-0.0116168537622503,-0.00370930953258672,-0.00239157419144301,-0.000486694855875416,1.89602273347744,(-0.0116168537622503-0.00370930953258672j),(-0.00239157419144301-0.000486694855875416j),19.435998994607967
67,67.0,-0.0107329878089613,-0.00495054839981648,-0.00219885435135099,-0.00120489038040437,1.78967689629894,(-0.0107329878089613-0.00495054839981648j),(-0.00219885435135099-0.00120489038040437j),18.345855111843882
68,68.0,-0.00960026276001503,-0.00593077206646627,-0.00174982663639885,-0.00181570090181785,1.63896877542623,(-0.00960026276001503-0.00593077206646627j),(-0.00174982663639885-0.00181570090181785j),16.800956501694333
69,69.0,-0.00830573378695811,-0.00657827730873439,-0.00109428973798054,-0.00225001293474248,1.45289562360823,(-0.00830573378695811-0.00657827730873439j),(-0.00109428973798054-0.00225001293474248j),14.89353338497609
70,70.0,-0.00695362463138853,-0.00685099048113705,-0.000305011113644245,-0.00246040261368951,1.24347438442118,(-0.00695362463138853-0.00685099048113705j),(-0.000305011113644245-0.00246040261368951j),12.74677062605926
